cusec;Codmun;Municipio;Provincia;RMH 2018;RMP 2018
2807901061;28079;Madrid;Madrid;38602;19202
2807901062;28079;Madrid;Madrid;37402;20067
2807901063;28079;Madrid;Madrid;36525;19134
2807901064;28079;Madrid;Madrid;38935;20616
2807901065;28079;Madrid;Madrid;40584;20858
2807901066;28079;Madrid;Madrid;30391;15159
2807901067;28079;Madrid;Madrid;42300;21914
2807901068;28079;Madrid;Madrid;43390;20585
2807901069;28079;Madrid;Madrid;34309;19423
2807901071;28079;Madrid;Madrid;46725;22751
2807901072;28079;Madrid;Madrid;56873;28017
2807901073;28079;Madrid;Madrid;75842;32242
2807901074;28079;Madrid;Madrid;39728;20282
2807901075;28079;Madrid;Madrid;29010;15299
2807901076;28079;Madrid;Madrid;32890;16739
2807901077;28079;Madrid;Madrid;45647;22670
2807901079;28079;Madrid;Madrid;44909;23618
2807901081;28079;Madrid;Madrid;37054;18382
2807901082;28079;Madrid;Madrid;39198;19690
2807901084;28079;Madrid;Madrid;57452;28937
2807901087;28079;Madrid;Madrid;73168;31900
2807901088;28079;Madrid;Madrid;48769;24483
2807901089;28079;Madrid;Madrid;59665;30870
2807901090;28079;Madrid;Madrid;41538;20211
2807901091;28079;Madrid;Madrid;34968;16612
2807901092;28079;Madrid;Madrid;35099;18511
2807901093;28079;Madrid;Madrid;34346;17344
2807901094;28079;Madrid;Madrid;33682;17475
2807901095;28079;Madrid;Madrid;32889;16864
2807901096;28079;Madrid;Madrid;33378;16100
2807901097;28079;Madrid;Madrid;31906;16296
2807901098;28079;Madrid;Madrid;29128;15170
2807901099;28079;Madrid;Madrid;30510;15914
2807901100;28079;Madrid;Madrid;31056;17136
2807901101;28079;Madrid;Madrid;31471;16124
2807901102;28079;Madrid;Madrid;31545;16912
2807901103;28079;Madrid;Madrid;48424;24155
2807901104;28079;Madrid;Madrid;32506;17415
2807901105;28079;Madrid;Madrid;34642;20120
2807901106;28079;Madrid;Madrid;48108;22806
2807901107;28079;Madrid;Madrid;53340;25566
2807901108;28079;Madrid;Madrid;42824;20656
2807901109;28079;Madrid;Madrid;34818;17138
2807901110;28079;Madrid;Madrid;32136;15620
2807901111;28079;Madrid;Madrid;34057;17124
2807901112;28079;Madrid;Madrid;34550;17241
2807901113;28079;Madrid;Madrid;31938;14939
2807901114;28079;Madrid;Madrid;32474;16073
2807901115;28079;Madrid;Madrid;35436;17138
2807901116;28079;Madrid;Madrid;32972;16643
