Cusec;CodMun;Municipio;Provincia;RM por persona 2017_custom;% ingresos salario
2807904037;28079;Madrid;Madrid;20260;63,53650574
4314804012;43148;Tarragona;Tarragona;20258;36,740682
2812701006;28127;Rozas de Madrid, Las;Madrid;20248;57,55737766
0905905028;09059;Burgos;Burgos;20247;44,85191533
0801905012;08019;Barcelona;Barcelona;20246;56,27436878
2807908173;28079;Madrid;Madrid;20246;81,92815656
2807903088;28079;Madrid;Madrid;20234;64,52207324
3501602004;35016;Palmas de Gran Canaria, Las;Palmas, Las;20233;52,38471673
2007401005;20074;Bergara;Gipuzkoa;20232;
2812701049;28127;Rozas de Madrid, Las;Madrid;20230;82,04797328
2807908044;28079;Madrid;Madrid;20228;53,80056067
3304411011;33044;Oviedo;Asturias;20223;43,46359187
2807904103;28079;Madrid;Madrid;20222;59,54414833
2807908141;28079;Madrid;Madrid;20221;54,01324392
2812701013;28127;Rozas de Madrid, Las;Madrid;20221;68,80325767
2807907116;28079;Madrid;Madrid;20219;60,90444083
2807907119;28079;Madrid;Madrid;20218;61,70849196
3605702007;36057;Vigo;Pontevedra;20216;42,85075294
2807916111;28079;Madrid;Madrid;20212;80,98503976
0801902104;08019;Barcelona;Barcelona;20209;56,72984875
2608902020;26089;Logroño;Rioja, La;20208;55,92680695
3501604062;35016;Palmas de Gran Canaria, Las;Palmas, Las;20208;81,5059247
1402106023;14021;Córdoba;Córdoba;20207;40,42842946
2807903009;28079;Madrid;Madrid;20204;51,84324411
3304402006;33044;Oviedo;Asturias;20203;49,03258262
2807916045;28079;Madrid;Madrid;20198;64,58510556
2906702006;29067;Málaga;Málaga;20197;37,79200488
1503003015;15030;Coruña, A;Coruña, A;20191;45,87255053
2807915182;28079;Madrid;Madrid;20186;64,53162222
2807905096;28079;Madrid;Madrid;20180;59,94790857
2815201006;28152;Torrelodones;Madrid;20178;67,26826506
1707902015;17079;Girona;Girona;20175;65,58894051
0801905090;08019;Barcelona;Barcelona;20174;59,17730918
0801904015;08019;Barcelona;Barcelona;20173;63,0853358
2807907061;28079;Madrid;Madrid;20168;61,36319528
4625002046;46250;València;Valencia/València;20168;39,48182521
0801910067;08019;Barcelona;Barcelona;20163;74,65114544
1503003005;15030;Coruña, A;Coruña, A;20160;52,13989876
0801904014;08019;Barcelona;Barcelona;20157;59,03169942
2003201007;20032;Elgoibar;Gipuzkoa;20156;
3304411006;33044;Oviedo;Asturias;20156;44,43755938
0820501015;08205;Sant Cugat del Vallès;Barcelona;20153;79,05505402
2800601052;28006;Alcobendas;Madrid;20152;76,31071631
0801904002;08019;Barcelona;Barcelona;20150;59,78131594
5029702027;50297;Zaragoza;Zaragoza;20146;
0801904016;08019;Barcelona;Barcelona;20144;59,59886486
2807915125;28079;Madrid;Madrid;20139;54,34369055
2800601063;28006;Alcobendas;Madrid;20138;77,51931933
3802303022;38023;San Cristóbal de La Laguna;Santa Cruz de Tenerife;20138;52,06463893
2006906019;20069;Donostia/San Sebastián;Gipuzkoa;20126;
2807903012;28079;Madrid;Madrid;20124;65,31401344
0801905044;08019;Barcelona;Barcelona;20123;53,25818406
0801904026;08019;Barcelona;Barcelona;20121;56,01356037
2807905060;28079;Madrid;Madrid;20121;59,83526564
4625006019;46250;València;Valencia/València;20119;44,44924717
2807921006;28079;Madrid;Madrid;20117;57,93159799
0801905081;08019;Barcelona;Barcelona;20108;55,04206311
0301401023;03014;Alicante/Alacant;Alicante/Alacant;20099;47,40158676
2006903012;20069;Donostia/San Sebastián;Gipuzkoa;20099;
2807904072;28079;Madrid;Madrid;20098;57,82993306
2807907056;28079;Madrid;Madrid;20092;67,75352415
0801905091;08019;Barcelona;Barcelona;20081;60,5689825
0801902069;08019;Barcelona;Barcelona;20079;54,17189819
2807921025;28079;Madrid;Madrid;20073;62,06138689
0704002006;07040;Palma ;Balears, Illes;20070;51,84784505
4718602002;47186;Valladolid;Valladolid;20067;47,22779923
0801902118;08019;Barcelona;Barcelona;20066;61,64075598
2807909053;28079;Madrid;Madrid;20063;74,46971731
0801905088;08019;Barcelona;Barcelona;20058;55,67057046
0828201005;08282;Tiana;Barcelona;20057;67,791456
2807907106;28079;Madrid;Madrid;20057;59,14198967
2807908148;28079;Madrid;Madrid;20054;72,25330225
0801905040;08019;Barcelona;Barcelona;20048;56,02947166
5029704051;50297;Zaragoza;Zaragoza;20039;
3907501002;39075;Santander;Cantabria;20037;40,38476075
4718602001;47186;Valladolid;Valladolid;20035;42,06535749
0801904017;08019;Barcelona;Barcelona;20028;53,4048652
2006902005;20069;Donostia/San Sebastián;Gipuzkoa;20025;
0801904010;08019;Barcelona;Barcelona;20010;61,98992346
2807907017;28079;Madrid;Madrid;20004;55,00119171
4109103006;41091;Sevilla;Sevilla;20002;43,43639922
